agency_name,sworn_active_persnl,agency_type,state,county,city,zip,fips,addr1,addr2
Riverside Police Department,385,Local police department,CA,Riverside,Riverside,92501,6065,1791 Harshman Road, 
Charleston Police Department,382,Local police department,SC,Charleston,Charleston,29403,45019,Post Office Box 420, 
Chesapeake Police Department,376,Local police department,VA,Chesapeake City,Chesapeake,23322,51550,304 Albemarle Drive, 
Lubbock Police Department,376,Local police department,TX,Lubbock,Lubbock,79457,48303,P. O. Box 2000, 
Atlantic City Police,376,Local police department,NJ,Atlantic,Atlantic City,8401,34001,2711 Atlantic Avenue, 
Knoxville Police Department,375,Local police department,TN,Knox,Knoxville,37927,47093,P.O. Box 3610, 
Miami Beach Police Department,374,Local police department,FL,Miami-Dade,Miami Beach,33139,12086,1100 Washington Avenue, 
Anchorage Police Department,372,Local police department,AK,Anchorage,Anchorage,99507,2020,11506 Park Rd., 
Tacoma Police Department,371,Local police department,WA,Pierce,Tacoma,98409,53053,3701 South Pine, 
Santa Ana Police Department,369,Local police department,CA,Orange,Santa Ana,92701,6059,60 Civic Center Plaza, 
Washington County Sheriff's Office,369,Sheriff's office,OR,Washington,Hillsboro,97123,41067,399 Broadway, 
Lafayette Parish Sheriff's Office,367,Sheriff's office,LA,Lafayette,Lafayette,70501,22055,316 W Main St,PO Drawer 3508
North Carolina State Bureau of Investigation,367,Special jurisdiction,NC,Wake,Raleigh,27626,37183,Po Box 29500, 
Adams County Sheriff's Office,364,Sheriff's office,CO,Adams,Brighton,80601,8001,313 S 1St St,PO Box 608
Arlington County Police Department,364,Local police department,VA,Arlington,Arlington,22201,51013,1425 N. Courthouse Rd., 
Tallahassee Police Department,364,Local police department,FL,Leon,Tallahassee,32303,12073,234 East Seventh Avenue, 
Reno Police Department,362,Local police department,NV,Washoe,Reno,89505,32031,Po Box 1900, 
East Baton Rouge Parish Sheriff's Office,359,Sheriff's office,LA,East Baton Rouge,Baton Rouge,70821,22033,Po Box 3277,300 North Blvd-Munic Bldg
Chesapeake (City) Sheriff's Office,358,Sheriff's office,VA,Chesapeake City,Chesapeake,23322,51550,401 Albemarle Dr, 
New Castle County Police Department,358,Local police department,DE,New Castle,New Castle,19720,10003,87 Reads Way, 
Tempe Police Department,357,Local police department,AZ,Maricopa,Tempe,85281,4013,120 E. 5Th Street, 
Montgomery County Sheriff's Office,357,Sheriff's office,TX,Montgomery,Conroe,77301,48339,Po Box 432,200 Clark Dr
Mecklenburg County Sheriff's Office,355,Sheriff's office,NC,Mecklenburg,Charlotte,28202,37119,700 E 4Th St, 
Seminole County Sheriff's Office,355,Sheriff's office,FL,Seminole,Sanford,32773,12117,"Courthouse, 110 S Wewoka", 
Kansas City Police Department,354,Local police department,KS,Wyandotte,Kansas City,66101,20209,1125 Locust Street, 
Wake County Sheriff's Office,354,Sheriff's office,NC,Wake,Raleigh,27602,37183,Po Box 550, 
Columbia Police Department,351,Local police department,SC,Richland,Columbia,29201,45079,Po Box 10, 
New Hampshire State Police,350,Primary state law enforcement agency,NH,Merrimack,Concord,3305,33013,33 Hazen Dr,33 Hazel Dr.
Marion County Sheriff's Office,349,Sheriff's office,FL,Marion,Ocala,34478,12083,2715 E Highway 76 Ste C, 
Elizabeth Police,348,Local police department,NJ,Union,Elizabeth,7201,34039,One Police Plaza, 
Bakersfield Police Department,348,Local police department,CA,Kern,Bakersfield,93301,6029,1601 Truxtun Avenue, 
Harris County Constable Pct. 4,346,Constable/marshal,TX,Harris,Spring,77379,48201,6831 Cypresswood Dr,Attn: Lt. Walls
San Bernardino Police Department,345,Local police department,CA,San Bernardino,San Bernardino,92401,6071,710 North D Street, 
Irving Police Department,344,Local police department,TX,Dallas,Irving,75015,48113,Po Box 152288, 
South Carolina Law Enforcement Division,344,Special jurisdiction,SC,Richland,Columbia,29221,45079,Po Box 21398, 
Plano Police Department,343,Local police department,TX,Collin,Plano,75086,48085,P. O. Box 860358, 
New Jersey Division of Criminal Justice,342,Special jurisdiction,NJ,Mercer,Trenton,8625,34021,P.O. Box 085, 
Salt Lake County Sheriff's Office,342,Sheriff's office,UT,Salt Lake,Salt Lake City,84190,49035,2001 S State St Ste S2700, 
Fayetteville Police Department,341,Local police department,NC,Cumberland,Fayetteville,28301,37051,308 West Market Street, 
Los Angeles School Police Department,340,Special jurisdiction,CA,Los Angeles,Los Angleles,90015,6037,1330 West Pico Boulevard, 
Cherokee County Sheriff's Office,340,Sheriff's office,GA,Cherokee,Canton,30115,13057,111 N 5Th St, 
Hialeah Police Department,338,Local police department,FL,Miami-Dade,Hialeah,33013,12086,5555 East 8Th Avenue, 
Clayton County Police Department,336,Local police department,GA,Clayton,Jonesboro,30236,13063,7930 N. Mcdonough Street, 
Henderson Police Department,336,Local police department,NV,Clark,Henderson,89009,32003,223 Lead Street,PO Box 95050
San Mateo County Sheriff's Office,334,Sheriff's office,CA,San Mateo,Redwood City,94063,6081,400 County Ctr, 
Maine State Police,334,Primary state law enforcement agency,ME,Kennebec,Augusta,4333,23011,"45 Commerce Drive, Suite 1", 
Chandler Police Department,333,Local police department,AZ,Maricopa,Chandler,85244,4013,P. O. Box 425, 
Hamilton County Sheriff's Office,330,Sheriff's office,OH,Hamilton,Cincinnati,45202,39061,Po Box 764,103 West Ave C
California Dept of Fish And Game - Law Enforcement,330,Special jurisdiction,CA,Sacramento,Sacramento,95814,6067,1416 Ninth St,Room 1326
Maui (County) Police Department,329,Local police department,HI,Maui,Wailuku,96793,15009,55 Mahalani Street, 
Albany Police Department,328,Local police department,NY,Albany,Albany,12210,36001,204 Water St., 
DeKalb County Sheriff's Office,325,Sheriff's office,GA,DeKalb,Decatur,30032,13089,4415 Memorial Dr, 
North Charleston Police Department,325,Local police department,SC,Charleston,North Charleston,29419,45019,Po Box 62558, 
Garland Police Department,321,Local police department,TX,Dallas,Garland,75042,48113,1891 Forest Lane, 
New York State Department of Environmental Conservation,321,Special jurisdiction,NY,Albany,Albany,12233,36001,Division Of Law Enforcement, 
Grand Rapids Police Department,319,Local police department,MI,Kent,Grand Rapids,49503,26081,1 Monroe Center Nw, 
Clackamas County Sheriff's Office,319,Sheriff's office,OR,Clackamas,Oregon City,97045,41005,2223 Kaen Rd, 
Hennepin County Sheriff's Office,319,Sheriff's office,MN,Hennepin,Minneapolis,55415,27053,350 S 5Th St,Room 6 Courthouse
Harris County Constable Pct. 5,318,Constable/marshal,TX,Harris,Houston,77094,48201,17423 Katy Freeway, 
Hollywood Police Department,316,Local police department,FL,Broward,Hollywood,33021,12011,Post Office Box 308, 
Alexandria Police Department,315,Local police department,VA,Alexandria City,Alexandria,22314,51510,8236 W. Main St., 
Monterey County Sheriff's Office,315,Sheriff's office,CA,Monterey,Salinas,93906,6053,1414 Natividad Rd, 
New Hanover County Sheriff's Office,315,Sheriff's office,NC,New Hanover,Castle Hayne,28429,37129,3950 Juvenile Center Rd, 
Amarillo Police Department,311,Local police department,TX,Potter,Amarillo,79101,48375,200 E. Third Avenue, 
West Palm Beach Police Department,310,Local police department,FL,Palm Beach,West Palm Beach,33401,12099,600 Banyan Boulevard, 
MARTA Police Department,309,Special jurisdiction,GA,Fulton,Atlanta,30324,13121,2424 Piedmont Rd N.E., 
Henrico County Sheriff's Office,308,Sheriff's office,VA,Henrico,Richmond,23273,51087,Po Box 27032, 
Lincoln Police Dept,308,Local police department,NE,Lancaster,Lincoln,68508,31109,911 Pekin St, 
Vermont State Police,307,Primary state law enforcement agency,VT,Washington,Waterbury,5671,50023,103 S. Main St., 
Wilmington Police Department,306,Local police department,DE,New Castle,Wilmington,19801,10003,One Safety Square,300 N. Walnut Street
Springfield Police Dept,306,Local police department,MO,Greene,Springfield,65802,29077,800 E Monroe  Room 345, 
Boise Police Department,306,Local police department,ID,Ada,Boise,83704,16001,7200 Barrister, 
New York State Park Police,305,Special jurisdiction,NY,Albany,Albany,12238,36001,Agency Building #1,"Empire State Plaza, 11th Floor"
Joliet Police Dept,302,Local police department,IL,Will,Joliet,60432,17197,150 West Washington Street, 
Rockford Police Dept,300,Local police department,IL,Winnebago,Rockford,61101,17201,420 West State Street, 
Cumberland County Sheriff's Office,300,Sheriff's office,NC,Cumberland,Fayetteville,28301,37051,Po Box 56,166 Courthouse Square
Bossier Parish Sheriff's Office,300,Sheriff's office,LA,Bossier,Benton,71006,22015,Po Box 850, 
Butler County Sheriff's Office,300,Sheriff's office,OH,Butler,Hamilton,45011,39017,Po Box 345,428 Sixth St
Terrebonne Parish Sheriff's Office,300,Sheriff's office,LA,Terrebonne,Houma,70361,22109,Po Box 1670, 
Aurora Police Dept,297,Local police department,IL,Kane,Aurora,60506,17089,715 12Th St., 
Mahoning County Sheriff's Office,297,Sheriff's office,OH,Mahoning,Youngstown,44503,39099,110 5Th Ave,Justice Center
Spartanburg County Sheriff's Office,297,Sheriff's office,SC,Spartanburg,Spartanburg,29304,45083,Po Box 771,8045 Howard St
Spokane Police Department,295,Local police department,WA,Spokane,Spokane,99260,53063,West 1100 Mallon, 
Santa Barbara County Sheriff's Office,294,Sheriff's office,CA,Santa Barbara,Santa Barbara,93110,6083,4434 Calle Real,PO Box 6427
Pierce County Sheriff's Office,292,Sheriff's office,WA,Pierce,Tacoma,98402,53053,Po Box 226, 
St. Charles Parish Sheriff's Office,291,Sheriff's office,LA,St. Charles,Hahnville,70057,22089,Po Box 426, 
Hawaii Department of Public Safety,290,Primary state law enforcement agency,HI,Honolulu,Honolulu,96814,15003,919 Ala Moana Blvd,Ste 400
Bibb County Sheriff's Office,290,Sheriff's office,GA,Bibb,Macon,31201,13021,668 Oglethorpe St,PO Box 930
Travis County Sheriff's Office,290,Sheriff's office,TX,Travis,Austin,78767,48453,P.O. Box 1748, 
Charles County Sheriff's Office,289,Sheriff's office,MD,Charles,La Plata,20646,24017,6915 Crain Hwy,PO Box 189
Lucas County Sheriff's Office,289,Sheriff's office,OH,Lucas,Toledo,43604,39095,1023 Linden Ave,PO Box 816
New Bedford Police Department,288,Local police department,MA,Bristol,New Bedford,2740,25005,871 Rockdale Avenue, 
Snohomish County Sheriff's Office,287,Sheriff's office,WA,Snohomish,Everett,98201,53061,3000 Rockefeller Ave,M/S 606
Montgomery County Sheriff's Office,287,Sheriff's office,TN,Montgomery,Clarksville,37040,47125,Po Box 432,200 Clark Dr
Lafourche Parish Sheriff's Office,287,Sheriff's office,LA,Lafourche,Thibodaux,70302,22057,200 Canal Blvd Attn: Beccy Hebert,PO Box 5608
Lake County Sheriff's Office,286,Sheriff's office,FL,Lake,Tavares,32778,12069,513 CENTER STREET, 
Charlotte County Sheriff's Office,285,Sheriff's office,FL,Charlotte,Punta Gorda,33982,12015,222 Law Ln, 
Topeka Police Department,283,Local police department,KS,Shawnee,Topeka,66603,20177,320 S Kansas St Suite 100, 
East Orange Police,283,Local police department,NJ,Essex,East Orange,7017,34013,61 North Munn Avenue, 
Lakewood Police Department,282,Local police department,CO,Jefferson,Lakewood,80226,8059,12650 Detroit Avenue, 
Tennessee Bureau of Investigation,281,Special jurisdiction,TN,Davidson,Nashville,37216,47037,901 R. S. Gass Blvd., 
Harford County Sheriff's Office,280,Sheriff's office,MD,Harford,Bel Air,21014,24025,45 S Main St,PO Box 150
San Joaquin County Sheriff's Office,280,Sheriff's office,CA,San Joaquin,French Camp,95231,6077,7000 S Michael N Canlis Way, 
Bernalillo County Sheriff's Office,279,Sheriff's office,NM,Bernalillo,Albuquerque,87125,35001,Po Box 25927,400 Roma NW
Georgia Bureau of Investigation,278,Special jurisdiction,GA,DeKalb,Decatur,30034,13089,3121 Panthersville Road, 
Evansville Police,277,Local police department,IN,Vanderburgh,Evansville,47708,18163,15 N.W. Mlk Jr. Blvd., 
Texas Alcoholic Beverage Commission,277,Special jurisdiction,TX,Travis,Austin,78731,48453,5806 Mesa Drive,Enforcement Training Section
Alachua County Sheriff's Office,276,Sheriff's office,FL,Alachua,Gainesville,32602,12001,Po Box 1210,2621 Hawthorne Rd
Gainesville Police Department,275,Local police department,FL,Alachua,Gainesville,32602,12001,201 Santa Fe St., 
Tennessee Wildlife Resources Agency,275,Special jurisdiction,TN,Davidson,Nashville,37204,47037,P.O. Box 40747, 
Alaska State Troopers,274,Primary state law enforcement agency,AK,Anchorage,Anchorage,99507,2020,5700 E Tudor Road, 
Springfield Police Dept,273,Local police department,IL,Sangamon,Springfield,62701,17167,800 E Monroe  Room 345, 
McAllen Police Department,273,Local police department,TX,Hidalgo,McAllen,78505,48215,P.O. Box 220,1601 N. BICENTENNIAL
Monroe County Sheriff's Office,273,Sheriff's office,NY,Monroe,Rochester,14614,36055,301 N College Ave,Justice Building
Cambridge Police Department,272,Local police department,MA,Middlesex,Cambridge,2142,25017,125 sixth street, 
Westchester County Department of Public Safety,270,Local police department,NY,Westchester,Hawthorne,10532,36119,1 Saw Mill River Parkway, 
Macon Police Department,270,Local police department,GA,Bibb,Macon,31202,13021,301 E Bourke Street, 
Suffolk County Sheriff's Office,270,Sheriff's office,NY,Suffolk,Riverhead,11901,36103,20 Bradston St, 
St. Johns County Sheriff's Office,269,Sheriff's office,FL,St. Johns,Saint Augustine,32084,12109,4015 Lewis Speedway, 
Wilmington Police Department,266,Local police department,NC,New Hanover,Wilmington,28402,37129,One Safety Square,300 N. Walnut Street
Roanoke City Police Department,264,Local police department,VA,Roanoke City,Roanoke,24016,51770,348 Campbell Avenue Sw, 
Glendale Police Department,264,Local police department,CA,Los Angeles,Glendale,91206,6037,424 N Sappington Rd, 
Idaho State Police,264,Primary state law enforcement agency,ID,Ada,Meridian,83642,16001,700 S. Stratford Drive, 
Tuscaloosa Police Department,263,Local police department,AL,Tuscaloosa,Tuscaloosa,35401,1125,3801 Mill Creek Avenue, 
Morris County Sheriff's Office,262,Sheriff's office,NJ,Morris,Morristown,7963,34027,"Courthouse, Washington St",PO Box 900
Hidalgo County Sheriff's Office,262,Sheriff's office,TX,Hidalgo,Edinburg,78542,48215,711 El Cibolo Road, 
Modesto Police Department,262,Local police department,CA,Stanislaus,Modesto,95353,6099,601 - 10Th Street, 
Maryland State Forest And Park Service,261,Special jurisdiction,MD,Anne Arundel,Annapolis,21401,24003,"Tawes, 580 Taylor Avenue; E-3", 
Ascension Parish Sheriff's Office,260,Sheriff's office,LA,Ascension,Donaldsonville,70346,22005,Po Box 268, 
Pasadena Police Department,260,Local police department,TX,Harris,Pasadena,77506,48201,1114 JEFF GINN MEMORIAL DRIVE, 
Charleston County Sheriff's Office,259,Sheriff's office,SC,Charleston,Charleston,29405,45019,3505 Pinehaven Dr, 
St. Lucie County Sheriff's Office,259,Sheriff's office,FL,St. Lucie,Fort Pierce,34981,12111,4700 W Midway Rd, 
Overland Park Police Department,258,Local police department,KS,Johnson,Overland Park,66213,20091,12400 Foster St, 
Okaloosa County Sheriff's Office,258,Sheriff's office,FL,Okaloosa,Shalimar,32579,12091,1250 Eglin Pkwy, 
Hall County Sheriff's Office,257,Sheriff's office,GA,Hall,Gainesville,30501,13139,"512 Main St, Ste 7", 
SEPTA Transit Police,256,Special jurisdiction,PA,Philadelphia,Philadelphia,19107,42101,"1234 Market Street, 4Th Floor", 
Waterbury Police Department,256,Local police department,CT,New Haven,Waterbury,6702,9009,P.O. Box 9, 
MBTA Transit Police,256,Special jurisdiction,MA,Suffolk,Boston,2118,25025,240 Southampton Street, 
South Bend Police,255,Local police department,IN,St. Joseph,South Bend,46601,18141,701 West Sample Street, 
Marion County Sheriff's Office,255,Sheriff's office,OR,Marion,Salem,97301,41047,2715 E Highway 76 Ste C, 
